Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Dan Garza,North,Texas;,Central,Missouri;,Oregon,2,https://www.profootballarchives.com/players/g/garz00200.html
Roberto Garza,Texas,A&M-Kingsville,14,2001,2014,206,https://www.profootballarchives.com/players/g/garz00430.html
Sammy Garza,Texas-El,Paso,1,1987,1987,2,https://www.profootballarchives.com/players/g/garz00600.html
Mike Garzoni,Fresno,State;,Southern,California,3,1947,https://www.profootballarchives.com/players/g/garz00800.html
Sam Gash,Penn,State,12,1992,2003,177,https://www.profootballarchives.com/players/g/gash00200.html
Thane Gash,East,Tennessee,State,4,1988,1992,https://www.profootballarchives.com/players/g/gash00400.html
Myles Gaskin,Washington,7,2019,2024,46,17,https://www.profootballarchives.com/players/g/gask00160.html
Kendall Gaskins,Richmond,1,2015,2015,9,0,https://www.profootballarchives.com/players/g/gask00180.html
Percell Gaskins,Northwestern,Oklahoma,State;,Kansas,State,2,https://www.profootballarchives.com/players/g/gask00200.html
Joe Gasparella,Notre,Dame,4,1948,1951,27,https://www.profootballarchives.com/players/g/gasp00400.html
Michael Gasperson,San,Diego,1,2007,2007,1,https://www.profootballarchives.com/players/g/gasp01000.html
Ron Gassert,Virginia,1,1962,1962,11,0,https://www.profootballarchives.com/players/g/gass00200.html
Mark Gastineau,Eastern,Arizona,JC;,Arizona,State;,East,https://www.profootballarchives.com/players/g/gast00200.html
Bruce Gaston,Purdue,2,2015,2015,9,0,https://www.profootballarchives.com/players/g/gast00350.html
Willie Gaston,Houston,1,2007,2007,4,2,https://www.profootballarchives.com/players/g/gast00600.html
Antonio Gates,Sequoias,JC;,Kent,State,16,2003,https://www.profootballarchives.com/players/g/gate00050.html
Clyde Gates,Abilene,Christian,3,2011,2013,32,https://www.profootballarchives.com/players/g/gate00070.html
DeMarquis Gates,Mississippi,2,2022,2023,8,0,https://www.profootballarchives.com/players/g/gate00075.html
Lionel Gates,Louisville,1,2007,2007,1,0,https://www.profootballarchives.com/players/g/gate00090.html
Nick Gates,Nebraska,6,2019,2024,66,40,https://www.profootballarchives.com/players/g/gate00117.html
Curtis Gatewood,Vanderbilt,2,2008,2010,7,0,https://www.profootballarchives.com/players/g/gate00130.html
Les Gatewood,Baylor;,Tulane,2,1946,1947,22,https://www.profootballarchives.com/players/g/gate00200.html
Tom Gatewood,Notre,Dame,2,1972,1973,17,https://www.profootballarchives.com/players/g/gate00400.html
Rico Gathers,Baylor,1,2018,2018,15,4,https://www.profootballarchives.com/players/g/gath00100.html
Frank Gatski,Marshall;,Auburn,12,1946,1957,145,https://www.profootballarchives.com/players/g/gats00200.html
Greg Gatson,Arkansas,1,2012,2012,2,0,https://www.profootballarchives.com/players/g/gats00400.html
Josh Gattis,Wake,Forest,1,2007,2007,4,https://www.profootballarchives.com/players/g/gatt00250.html
Dennis Gaubatz,Louisiana,State,7,1963,1969,95,https://www.profootballarchives.com/players/g/gaub00200.html
Bob Gaudio,Ohio,State,4,1947,1951,50,https://www.profootballarchives.com/players/g/gaud00200.html
Charlie Gauer,Colgate,3,1943,1945,24,5,https://www.profootballarchives.com/players/g/gaue00200.html
Frank Gaul,Notre,Dame,1,1949,1949,12,https://www.profootballarchives.com/players/g/gaul00200.html
Rashaan Gaulden,Tennessee,4,2018,2020,27,0,https://www.profootballarchives.com/players/g/gaul00490.html
Hal Gaulke,none,3,1920,1922,16,15,https://www.profootballarchives.com/players/g/gaul00600.html
Billy Gault,Texas,Christian,1,1961,1961,4,https://www.profootballarchives.com/players/g/gaul00800.html
Don Gault,Hofstra,1,1970,1970,2,1,https://www.profootballarchives.com/players/g/gaul01000.html
