Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Sandy Sanford,Arkansas,Tech,JC;,Alabama,1,1940,https://www.profootballarchives.com/players/s/sanf01400.html
Bishop Sankey,Washington,2,2014,2015,29,12,https://www.profootballarchives.com/players/s/sank00060.html
Darnell Sankey,Sacramento,State,1,2017,2017,6,https://www.profootballarchives.com/players/s/sank00110.html
Ollie Sansen,Iowa,4,1932,1935,41,22,https://www.profootballarchives.com/players/s/sans00200.html
Tom Santi,Virginia,2,2008,2009,9,4,https://www.profootballarchives.com/players/s/sant00030.html
O.J. Santiago,Kent,State,6,1997,2003,78,https://www.profootballarchives.com/players/s/sant00050.html
Joe Santone,1,1926,1926,1,0,0,https://www.profootballarchives.com/players/s/sant00100.html
Frank Santora,none,1,1944,1944,1,0,https://www.profootballarchives.com/players/s/sant00200.html
Cairo Santos,Tulane,13,2014,2024,150,0,https://www.profootballarchives.com/players/s/sant00335.html
Ryan Santoso,Minnesota,3,2019,2021,7,0,https://www.profootballarchives.com/players/s/sant00550.html
Dan Santucci,Notre,Dame,1,2007,2007,2,https://www.profootballarchives.com/players/s/sant00900.html
Mohamed Sanu,Rutgers,12,2012,2021,136,96,https://www.profootballarchives.com/players/s/sanu00200.html
Sekou Sanyika,California,2,2000,2001,32,1,https://www.profootballarchives.com/players/s/sany00200.html
Dane Sanzenbacher,Ohio,State,4,2011,2014,41,https://www.profootballarchives.com/players/s/sanz00100.html
Dom Sanzotta,Western,Reserve,2,1942,1946,15,https://www.profootballarchives.com/players/s/sanz00200.html
Lauvale Sape,Utah,2,2003,2005,10,0,https://www.profootballarchives.com/players/s/sape00050.html
Rick Sapienza,Villanova,1,1960,1960,2,0,https://www.profootballarchives.com/players/s/sapi00200.html
Jesse Sapolu,Hawaii,13,1983,1997,182,154,https://www.profootballarchives.com/players/s/sapo00200.html
Benny Sapp,Iowa;,Northern,Iowa,9,2004,2011,https://www.profootballarchives.com/players/s/sapp00030.html
Benny Sapp,Minnesota;,Northern,Iowa,1,2023,2023,https://www.profootballarchives.com/players/s/sapp00031.html
Bob Sapp,Washington,1,1997,1997,1,0,https://www.profootballarchives.com/players/s/sapp00050.html
Cecil Sapp,Colorado,State,6,2003,2008,61,https://www.profootballarchives.com/players/s/sapp00060.html
Gerome Sapp,Notre,Dame,5,2003,2007,67,https://www.profootballarchives.com/players/s/sapp00080.html
Patrick Sapp,Clemson,4,1996,1999,63,15,https://www.profootballarchives.com/players/s/sapp00100.html
Ricky Sapp,Clemson,4,2012,2014,17,0,https://www.profootballarchives.com/players/s/sapp00130.html
Theron Sapp,Georgia,8,1959,1965,82,1,https://www.profootballarchives.com/players/s/sapp00200.html
Warren Sapp,Miami,(Florida),13,1995,2007,198,https://www.profootballarchives.com/players/s/sapp00400.html
Al Sarafiny,St.,Edward's,1,1933,1933,6,https://www.profootballarchives.com/players/s/sara00200.html
Tony Sarausky,Fordham,4,1935,1938,27,9,https://www.profootballarchives.com/players/s/sara00600.html
Phil Sarboe,Washington,State,5,1934,1936,32,https://www.profootballarchives.com/players/s/sarb00200.html
Tony Sardisco,Tulane,5,1956,1962,50,37,https://www.profootballarchives.com/players/s/sard00200.html
Foster Sarell,Stanford,3,2022,2024,35,3,https://www.profootballarchives.com/players/s/sare00100.html
Broderick Sargent,Baylor,3,1986,1989,45,6,https://www.profootballarchives.com/players/s/sarg00200.html
Kevin Sargent,Eastern,Washington,6,1992,1998,73,https://www.profootballarchives.com/players/s/sarg00400.html
Mekhi Sargent,Iowa,Western,CC;,Iowa,3,2021,https://www.profootballarchives.com/players/s/sarg00480.html
Harvey Sark,Phillips,2,1931,1934,5,2,https://www.profootballarchives.com/players/s/sark00400.html
Chuck Sarratt,Newberry;,Oklahoma,1,1948,1948,8,https://www.profootballarchives.com/players/s/sarr00200.html
Paul Sarringhaus,Ohio,State,2,1946,1948,7,https://www.profootballarchives.com/players/s/sarr00400.html
Dan Sartin,Mississippi,1,1969,1969,13,2,https://www.profootballarchives.com/players/s/sart00200.html
Martin Sartin,Sequoias,JC;,Long,Beach,State,1,https://www.profootballarchives.com/players/s/sart00400.html
Larry Sartori,Fordham,2,1942,1945,11,2,https://www.profootballarchives.com/players/s/sart00600.html
Don Sasa,Long,Beach,CC;,Washington,State,5,https://www.profootballarchives.com/players/s/sasa00200.html
Tyler Sash,Iowa,2,2011,2012,23,0,https://www.profootballarchives.com/players/s/sash00200.html
Doug Satcher,Southern,Mississippi,3,1966,1968,42,https://www.profootballarchives.com/players/s/satc00200.html
Samson Satele,Hawaii,8,2007,2014,118,114,https://www.profootballarchives.com/players/s/sate00130.html
Ollie Satenstein,New,York,University,5,1929,1933,https://www.profootballarchives.com/players/s/sate00200.html
Al Satterfield,Vanderbilt,1,1947,1947,12,11,https://www.profootballarchives.com/players/s/satt00200.html
Brian Satterfield,North,Alabama,1,1996,1996,1,https://www.profootballarchives.com/players/s/satt00300.html
Howard Satterwhite,Sam,Houston,State,2,1976,1977,https://www.profootballarchives.com/players/s/satt00400.html
Jeff Saturday,North,Carolina,14,1999,2012,211,https://www.profootballarchives.com/players/s/satu00200.html
Eric Saubert,Drake,9,2017,2024,100,19,https://www.profootballarchives.com/players/s/saub00200.html
Craig Sauer,Minnesota,5,1996,2000,73,11,https://www.profootballarchives.com/players/s/saue00100.html
Eddie Sauer,Miami,(Ohio),10,1920,1926,57,https://www.profootballarchives.com/players/s/saue00200.html
George Sauer,Nebraska,3,1935,1937,21,10,https://www.profootballarchives.com/players/s/saue00400.html
George Sauer,Texas,6,1965,1970,84,79,https://www.profootballarchives.com/players/s/saue00600.html
Todd Sauerbrun,West,Virginia,13,1995,2007,178,https://www.profootballarchives.com/players/s/saue00800.html
Bill Saul,Penn,State,8,1962,1970,88,https://www.profootballarchives.com/players/s/saul00200.html
Rich Saul,Michigan,State,12,1970,1981,176,https://www.profootballarchives.com/players/s/saul00400.html
Ron Saul,Michigan,State,12,1970,1981,142,https://www.profootballarchives.com/players/s/saul00600.html
Mac Sauls,Texas,State,2,1968,1969,10,https://www.profootballarchives.com/players/s/saul01000.html
Syl Saumer,St.,Olaf,2,1934,1934,5,https://www.profootballarchives.com/players/s/saum00200.html
Buck Saunders,California,1,1922,1922,1,0,https://www.profootballarchives.com/players/s/saun00150.html
Cedric Saunders,Ohio,State,1,1995,1995,3,https://www.profootballarchives.com/players/s/saun00200.html
C.J. Saunders,Ohio,State,1,2021,2021,2,https://www.profootballarchives.com/players/s/saun00220.html
De'Ante Saunders,Tennessee,State,1,2015,2015,1,https://www.profootballarchives.com/players/s/saun00250.html
Jalen Saunders,Fresno,State;,Oklahoma,2,2014,2014,https://www.profootballarchives.com/players/s/saun00540.html
John Saunders,Toledo,3,1972,1975,9,2,https://www.profootballarchives.com/players/s/saun00600.html
Khalen Saunders,Western,Illinois,6,2019,2024,69,https://www.profootballarchives.com/players/s/saun00660.html
Russ Saunders,Southern,California,1,1931,1931,9,https://www.profootballarchives.com/players/s/saun00800.html
Weslye Saunders,South,Carolina,4,2011,2014,34,https://www.profootballarchives.com/players/s/saun01320.html
Stillwell Saunooke,Carlisle,Indian,1,1922,1922,9,https://www.profootballarchives.com/players/s/saun01400.html
Cory Sauter,Minnesota,1,2002,2002,1,0,https://www.profootballarchives.com/players/s/saut00200.html
Dantrell Savage,Mississippi,Gulf,Coast,CC;,Oklahoma,State,https://www.profootballarchives.com/players/s/sava00030.html
Darnell Savage,Maryland,6,2019,2024,85,82,https://www.profootballarchives.com/players/s/sava00031.html
Josh Savage,Utah,5,2004,2008,16,0,https://www.profootballarchives.com/players/s/sava00040.html
Sebastian Savage,North,Carolina,State,2,1994,1995,https://www.profootballarchives.com/players/s/sava00100.html
Tom Savage,Rutgers;,Arizona;,Pittsburgh,3,2014,2017,https://www.profootballarchives.com/players/s/sava00190.html
Tony Savage,Washington,State,3,1990,1992,5,https://www.profootballarchives.com/players/s/sava00200.html
Ollie Savatsky,Miami,(Ohio),1,1937,1937,1,https://www.profootballarchives.com/players/s/sava00400.html
George Savitsky,Pennsylvania,2,1948,1949,24,9,https://www.profootballarchives.com/players/s/savi00200.html
Nicky Savoie,Gulf,Coast,JC;,Louisiana,State,1,https://www.profootballarchives.com/players/s/savo00100.html
Joe Savoldi,Notre,Dame,1,1930,1930,3,https://www.profootballarchives.com/players/s/savo00200.html
Buzz Sawyer,Texas,A&M;,Baylor,1,1987,1987,https://www.profootballarchives.com/players/s/sawy00200.html
Corey Sawyer,Florida,State,6,1994,1999,65,https://www.profootballarchives.com/players/s/sawy00300.html
Herm Sawyer,Syracuse,1,1922,1922,3,1,https://www.profootballarchives.com/players/s/sawy00400.html
John Sawyer,Southern,Mississippi,10,1975,1984,110,https://www.profootballarchives.com/players/s/sawy00600.html
Jon Sawyer,Merced,JC;,Cincinnati,1,1987,1987,https://www.profootballarchives.com/players/s/sawy00800.html
Ken Sawyer,Syracuse,1,1974,1974,12,0,https://www.profootballarchives.com/players/s/sawy01000.html
Talance Sawyer,Nevada-Las,Vegas,5,1999,2003,39,https://www.profootballarchives.com/players/s/sawy01200.html
James Saxon,American,River,JC;,San,Jose,State,https://www.profootballarchives.com/players/s/saxo00200.html
Mike Saxon,Pasadena,CC;,San,Diego,State,11,https://www.profootballarchives.com/players/s/saxo00400.html
Brian Saxton,Boston,College,2,1996,1997,19,https://www.profootballarchives.com/players/s/saxt00100.html
Jimmy Saxton,Texas,1,1962,1962,13,3,https://www.profootballarchives.com/players/s/saxt00200.html
Wes Saxton,Itawamba,CC;,South,Alabama,1,2015,https://www.profootballarchives.com/players/s/saxt00600.html
Gale Sayers,Kansas,7,1965,1971,68,65,https://www.profootballarchives.com/players/s/saye00200.html
Ron Sayers,Nebraska-Omaha,1,1969,1969,8,0,https://www.profootballarchives.com/players/s/saye00400.html
Jace Sayler,Michigan,State,1,2001,2001,2,https://www.profootballarchives.com/players/s/sayl00100.html
