Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
John Baker,Blinn,JC;,North,Texas,2,2000,https://www.profootballarchives.com/players/b/bake03050.html
Johnny Baker,Mississippi,State,5,1963,1967,51,https://www.profootballarchives.com/players/b/bake03200.html
Jon Baker,California,4,1949,1952,48,48,https://www.profootballarchives.com/players/b/bake03400.html
Jon Baker,Bakersfield,CC;,Arizona,State,2,1995,https://www.profootballarchives.com/players/b/bake03500.html
Josh Baker,Delaware;,Northwest,Missouri,State,1,2011,https://www.profootballarchives.com/players/b/bake03550.html
Kawaan Baker,South,Alabama,1,2021,2021,2,https://www.profootballarchives.com/players/b/bake03580.html
Keith Baker,Texas,A&M;,Texas,Southern,1,1985,https://www.profootballarchives.com/players/b/bake03600.html
Larry Baker,Bowling,Green,State,1,1960,1960,https://www.profootballarchives.com/players/b/bake03800.html
Mel Baker,Texas,Southern,5,1974,1976,21,https://www.profootballarchives.com/players/b/bake04000.html
Myron Baker,Louisiana,Tech,5,1993,1997,66,https://www.profootballarchives.com/players/b/bake04100.html
Ralph Baker,Penn,State,11,1964,1974,142,https://www.profootballarchives.com/players/b/bake04200.html
Rashad Baker,Tennessee,6,2004,2008,52,4,https://www.profootballarchives.com/players/b/bake04230.html
Robert Baker,Auburn,1,2002,2002,10,0,https://www.profootballarchives.com/players/b/bake04320.html
Ron Baker,Indian,Hills,JC;,Oklahoma,State,11,https://www.profootballarchives.com/players/b/bake04400.html
Ryan Baker,Purdue,4,2009,2012,17,0,https://www.profootballarchives.com/players/b/bake04500.html
Sam Baker,Oregon,State,15,1953,1969,195,https://www.profootballarchives.com/players/b/bake04600.html
Sam Baker,Southern,California,6,2008,2013,70,https://www.profootballarchives.com/players/b/bake04810.html
Sean Baker,Ball,State,1,2014,2014,5,https://www.profootballarchives.com/players/b/bake04850.html
Shannon Baker,Florida,State,1,1994,1994,4,https://www.profootballarchives.com/players/b/bake04900.html
Stephen Baker,West,Los,Angeles,JC;,Fresno,State,https://www.profootballarchives.com/players/b/bake05200.html
Terry Baker,Oregon,State,3,1963,1965,18,https://www.profootballarchives.com/players/b/bake05400.html
Tim Baker,Texas,Tech,1,2001,2001,3,https://www.profootballarchives.com/players/b/bake05550.html
Tony Baker,Iowa,State,9,1968,1975,86,https://www.profootballarchives.com/players/b/bake05600.html
Tony Baker,East,Carolina,4,1986,1989,18,https://www.profootballarchives.com/players/b/bake05800.html
Wayne Baker,Brigham,Young,1,1975,1975,14,https://www.profootballarchives.com/players/b/bake06000.html
David Bakhtiari,Colorado,11,2013,2023,131,131,https://www.profootballarchives.com/players/b/bakh00380.html
Eric Bakhtiari,San,Diego,2,2009,2012,8,https://www.profootballarchives.com/players/b/bakh00400.html
Jim Bakken,Wisconsin,17,1962,1978,234,0,https://www.profootballarchives.com/players/b/bakk00200.html
Ed Balatti,none,4,1946,1948,37,14,https://www.profootballarchives.com/players/b/bala00200.html
Frank Balazs,Iowa,5,1939,1945,25,4,https://www.profootballarchives.com/players/b/bala00400.html
