Name,College,Years_Played,First_Season,Last_Season,Games_Played,Games_Started,Link
Willard Reaves,Northern,Arizona,2,1989,1989,3,https://www.profootballarchives.com/players/r/reav00600.html
C.J. Reavis,East,Mississippi,CC;,Marshall,1,2018,https://www.profootballarchives.com/players/r/reav00750.html
Dave Reavis,Arkansas,10,1974,1983,121,86,https://www.profootballarchives.com/players/r/reav00800.html
Rusty Rebowe,Nicholls,State,1,1978,1978,1,https://www.profootballarchives.com/players/r/rebo00400.html
Paul Rebsamen,Centenary,1,1927,1927,4,1,https://www.profootballarchives.com/players/r/rebs00050.html
Dave Recher,Iowa,4,1965,1968,46,0,https://www.profootballarchives.com/players/r/rech00200.html
Bert Rechichar,Tennessee,10,1952,1961,99,69,https://www.profootballarchives.com/players/r/rech00400.html
Ray Reckmack,Syracuse,2,1937,1937,2,0,https://www.profootballarchives.com/players/r/reck00200.html
Jamaica Rector,Northwest,Missouri,State,2,2006,2007,https://www.profootballarchives.com/players/r/rect00130.html
Ron Rector,Northwestern,3,1966,1967,20,2,https://www.profootballarchives.com/players/r/rect00200.html
Glen Redd,Brigham,Young,6,1981,1986,76,https://www.profootballarchives.com/players/r/redd00200.html
Silas Redd,Penn,State;,Southern,California,1,2014,https://www.profootballarchives.com/players/r/redd00350.html
Vince Redd,Virginia;,Liberty,1,2008,2008,5,https://www.profootballarchives.com/players/r/redd00430.html
Barry Redden,Richmond,9,1982,1990,107,19,https://www.profootballarchives.com/players/r/redd00600.html
Haason Reddick,Temple,8,2017,2024,124,83,https://www.profootballarchives.com/players/r/redd00652.html
Kevin Reddick,North,Carolina,4,2013,2015,26,https://www.profootballarchives.com/players/r/redd00655.html
Cory Redding,Texas,13,2003,2015,188,145,https://www.profootballarchives.com/players/r/redd00690.html
Reggie Redding,Laney,JC;,Fullerton,State,2,1991,https://www.profootballarchives.com/players/r/redd00800.html
Sheepy Redeen,none,1,1921,1921,4,4,https://www.profootballarchives.com/players/r/rede00200.html
Red Fang,none,2,1922,1923,3,3,https://www.profootballarchives.com/players/r/redf00200.html
Kasey Redfern,Wofford,2,2017,2019,4,0,https://www.profootballarchives.com/players/r/redf00300.html
Cornelius Redick,Fullerton,State,1,1987,1987,1,https://www.profootballarchives.com/players/r/redi00200.html
Ruel Redinger,Penn,State;,Colgate,1,1925,1925,https://www.profootballarchives.com/players/r/redi00400.html
Chris Redman,Louisville,7,2000,2011,30,12,https://www.profootballarchives.com/players/r/redm00100.html
Gus Redman,none,4,1921,1924,15,12,https://www.profootballarchives.com/players/r/redm00200.html
Isaac Redman,Bowie,State,5,2009,2013,50,https://www.profootballarchives.com/players/r/redm00250.html
Rick Redman,Washington,9,1965,1973,100,79,https://www.profootballarchives.com/players/r/redm00400.html
Anthony Redmon,Auburn,7,1994,2000,80,69,https://www.profootballarchives.com/players/r/redm00500.html
Adam Redmond,Harvard,3,2017,2020,18,0,https://www.profootballarchives.com/players/r/redm00520.html
Alex Redmond,UCLA,4,2017,2020,32,24,https://www.profootballarchives.com/players/r/redm00525.html
Jalen Redmond,Oklahoma,1,2024,2024,14,2,https://www.profootballarchives.com/players/r/redm00529.html
Jimmy Redmond,Ohio,State;,McNeese,State,2,2002,https://www.profootballarchives.com/players/r/redm00540.html
J.R. Redmond,Arizona,State,5,2000,2004,50,https://www.profootballarchives.com/players/r/redm00550.html
Rudy Redmond,Riverside,CC;,Pacific,4,1969,1972,https://www.profootballarchives.com/players/r/redm00600.html
Tom Redmond,Vanderbilt,6,1960,1965,60,12,https://www.profootballarchives.com/players/r/redm00800.html
